Saya memiliki Hubungan yang harmonis dengan keluarga.;Saya memiliki hubungan yang harmonis dengan teman-teman.;Saya Bisa dengan bebas menceritakan masalah dan trauma yang saya alami kepada keluarga saya.;Saya Bisa dengan bebas menceritakan masalah dan trauma yang saya alami kepada teman teman saya.;Saya sering merasa depresi dengan masalah yang saya hadapi.;Dengan bermain Role-Play perasaan (mood) saya menjadi lebih baik dari sebelumnya.;Di Komunitas Role-Play saya bisa menceritakan masalah saya tanpa takut di judge.;Saya merasa takut untuk percaya kepada orang lain.;Saya (pernah) menjadi korban Bullying di Real Life.;Saya perokok aktif.;Saya peminum alcohol aktif.;Saya Pemain Game(Console, PC, Ponsel) Aktif
Neither agree nor disagree;Neither agree nor disagree;Strongly disagree;Disagree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Agree;Strongly disagree;Strongly disagree;Disagree
Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly disagree;Strongly disagree;Strongly disagree
Strongly disagree;Disagree;Strongly disagree;Strongly agree;Strongly agree;Agree;Disagree;Strongly agree;Agree;Disagree;Disagree;Agree
Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;Agree;Disagree;Strongly disagree;Strongly disagree;Agree
Neither agree nor disagree;Strongly agree;Disagree;Agree;Neither agree nor disagree;Strongly agree;Agree;Neither agree nor disagree;Strongly agree;Strongly disagree;Strongly disagree;Agree
Disagree;Disagree;Strongly disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly agree;Strongly agree;Agree;Agree;Neither agree nor disagree;Strongly disagree;Agree
Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly disagree;Strongly disagree;Agree
Strongly agree;Neither agree nor disagree;Strongly disagree;Strongly disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly agree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree
Neither agree nor disagree;Agree;Disagree;Disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Agree;Strongly disagree;Strongly disagree;Disagree
Agree;Neither agree nor disagree;Disagree;Neither agree nor disagree;Disagree;Agree;Disagree;Neither agree nor disagree;Disagree;Strongly disagree;Strongly disagree;Neither agree nor disagree
Strongly disagree;Neither agree nor disagree;Strongly disagree;Neither agree nor disagree;Agree;Strongly agree;Strongly agree;Neither agree nor disagree;Agree;Disagree;Disagree;Disagree
Neither agree nor disagree;Neither agree nor disagree;Strongly disagree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Neither agree nor disagree;Agree;Neither agree nor disagree;Disagree;Disagree;Disagree
Neither agree nor disagree;Agree;Disagree;Neither agree nor disagree;Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Agree;Strongly disagree;Strongly disagree;Agree
Neither agree nor disagree;Disagree;Strongly disagree;Disagree;Agree;Neither agree nor disagree;Agree;Strongly agree;Agree;Disagree;Disagree;Agree
Neither agree nor disagree;Neither agree nor disagree;Strongly disagree;Strongly disagree;Agree;Disagree;Disagree;Agree;Neither agree nor disagree;Disagree;Strongly disagree;Agree
Agree;Neither agree nor disagree;Strongly agree;Strongly agree;Agree;Strongly agree;Neither agree nor disagree;Disagree;Strongly agree;Strongly disagree;Strongly disagree;Strongly disagree
Disagree;Neither agree nor disagree;Strongly disagree;Disagree;Agree;Agree;Disagree;Strongly agree;Agree;Disagree;Neither agree nor disagree;Neither agree nor disagree
Agree;Neither agree nor disagree;Disagree;Disagree;Disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly disagree;Strongly disagree;Strongly disagree
